Name,Synonyme,YahooTicker
EMS-CHEMIE HLDG Chemicals,"EC, EMS-CHEMIE, EMS-CHEMIE  Chemicals, EMS-CHEMIE HLDG Chemicals",EMC1.F
MICRO FOCUS INTERNATIONAL Technology,"MFT, MICRO, MICRO FOCUS  Technology, MICRO FOCUS INTERNATIONAL Technology",MGC=F
HELVETIA HLDG Insurance,"HELVETIA, HELVETIA  Insurance, HELVETIA HLDG Insurance, HI",0P0001EH77.SW
ARYZTA Food & Beverage,"AF&B, ARYZTA, ARYZTA Food & Beverage",ARYNN.MX
INDUSTRIVARDEN A Financial Services,"IAFS, INDUSTRIVARDEN, INDUSTRIVARDEN A Financial Services",IDVA.SG
TELEFONICA DEUTSCHLAND Telecommunications,"TDT, TELEFONICA, TELEFONICA DEUTSCHLAND Telecommunications",VIV
EDF Utilities,"EDF, EDF Utilities, EU",EDF
HUHTAMAKI Industrial Goods & Services,"HIG&S, HUHTAMAKI, HUHTAMAKI Industrial Goods & Services",0K9W.IL
WOOD GRP (JOHN) Oil & Gas,"W(O&G, WOOD, WOOD  (JOHN) Oil & Gas, WOOD GRP (JOHN) Oil & Gas",WOOD
BTG Health Care,"BHC, BTG, BTG Health Care",BTG
WEIR GRP Industrial Goods & Services,"WEIR, WEIR  Industrial Goods & Services, WEIR GRP Industrial Goods & Services, WIG&S",WEGRY
ETS COLRUYT Retail,"ECR, ETS, ETS COLRUYT Retail",ETSY
PETROFAC Oil & Gas,"PETROFAC, PETROFAC Oil & Gas, PO&G",P2F.BE
BABCOCK INTERNATIONAL Industrial Goods & Services,"BABCOCK, BABCOCK  Industrial Goods & Services, BABCOCK INTERNATIONAL Industrial Goods & Services, BIG&S",BW
ORION B Health Care,"OBHC, ORION, ORION B Health Care",OESX
KOMERCNI BANKA Banks,"KBB, KOMERCNI, KOMERCNI BANKA Banks",KOMB.PR
KION GROUP Industrial Goods & Services,"KIG&S, KION, KION  Industrial Goods & Services, KION GROUP Industrial Goods & Services",KGX.DE
FINGERPRINT CARDS 'B' Industrial Goods & Services,"FC'IG&S, FINGERPRINT, FINGERPRINT CARDS 'B' Industrial Goods & Services",FING-B.ST
BOLLORE Industrial Goods & Services,"BIG&S, BOLLORE, BOLLORE Industrial Goods & Services",BOL.PA
RHEINMETALL Automobiles & Parts,"RA&P, RHEINMETALL, RHEINMETALL Automobiles & Parts",RHM.DE
AMER SPORTS Personal & Household Goods,"AMER, AMER SPORTS Personal & Household Goods, ASP&HG",BAC
VOPAK Industrial Goods & Services,"VIG&S, VOPAK, VOPAK Industrial Goods & Services",VPK.AS
EXOR Financial Services,"EFS, EXOR, EXOR Financial Services",EYX.F
CAPITAL & COUNTIES PROPERTIES Real Estate,"C&CPRE, CAPITAL, CAPITAL & COUNTIES PROPERTIES Real Estate",OXLC
FLUGHAFEN ZURICH Industrial Goods & Services,"FLUGHAFEN, FLUGHAFEN ZURICH Industrial Goods & Services, FZIG&S",FLW1.F
DISTRIBUIDORA INT ALIMENTACION Retail,"DIAR, DISTRIBUIDORA, DISTRIBUIDORA INT ALIMENTACION Retail",DIA.MC
RTL GRP Media,"RM, RTL, RTL  Media, RTL GRP Media",0P0001J2L4.F
BCA POPOLARE DI MILANO Banks,"BCA, BCA POPOLARE DI MILANO Banks, BPDMB",BCAB
ENEL GREEN POWER Utilities,"EGPU, ENEL, ENEL GREEN POWER Utilities",ENEL.MI
SHAFTESBURY Real Estate,"SHAFTESBURY, SHAFTESBURY Real Estate, SRE",C20.DU
AALBERTS INDUSTRIES Industrial Goods & Services,"AALBERTS, AALBERTS INDUSTRIES Industrial Goods & Services, AIIG&S",AACA.F
GREAT PORTLAND ESTATES Real Estate,"GPERE, GREAT, GREAT PORTLAND ESTATES Real Estate",GLDD
JYSKE BANK Banks,"JBB, JYSKE, JYSKE BANK Banks",0P0000SO8G.CO
ORPEA Health Care,"OHC, ORPEA, ORPEA Health Care",OPA1.F
GEORG FISCHER Industrial Goods & Services,"GEORG, GEORG FISCHER Industrial Goods & Services, GFIG&S",SXOOF
SPECTRIS Industrial Goods & Services,"SIG&S, SPECTRIS, SPECTRIS Industrial Goods & Services",FA9.F
RPC GROUP Industrial Goods & Services,"RIG&S, RPC, RPC  Industrial Goods & Services, RPC GROUP Industrial Goods & Services",RES
CABLE & WIRELESS COMMUNICATION Telecommunications,"C&WCT, CABLE, CABLE & WIRELESS COMMUNICATION Telecommunications",OCC
Essentra PLC Industrial Goods & Services,"EIG&S, Essentra, Essentra  Industrial Goods & Services, Essentra PLC Industrial Goods & Services",ESNTL.XC
GJENSIDIGE FORSIKRING Insurance,"GFI, GJENSIDIGE, GJENSIDIGE FORSIKRING Insurance",XGJ.F
RUBIS Utilities,"RU, RUBIS, RUBIS Utilities",RUI.PA
WENDEL Financial Services,"WENDEL, WENDEL Financial Services, WFS",MF.PA
CASINO GUICHARD Retail,"CASINO, CASINO GUICHARD Retail, CGR",CNTY
GN STORE NORD Health Care,"GN STORE NORD Health Care, GSNHC",EURGNF=X
FUCHS PETROLUB PREF Chemicals,"FPPC, FUCHS, FUCHS PETROLUB PREF Chemicals",FUPBY
ACKERMANS & VAN HAAREN Financial Services,"A&VHFS, ACKERMANS, ACKERMANS & VAN HAAREN Financial Services",ACKB.BR
EUROFINS SCIENTIFIC Health Care,"ESHC, EUROFINS, EUROFINS SCIENTIFIC Health Care",ERF.PA
NEW WH SMITH Retail,"NEW, NEW WH SMITH Retail, NWSR",6N=F
TULLOW OIL Oil & Gas,"TOO&G, TULLOW, TULLOW OIL Oil & Gas",TLW.L
STRAUMANN Health Care,"SHC, STRAUMANN, STRAUMANN Health Care",SAUHY
KESKO Retail,"KESKO, KESKO Retail, KR",KESKOB.HE
PHOENIX GROUP HDG. Insurance,"PHI, PHOENIX, PHOENIX  HDG. Insurance, PHOENIX GROUP HDG. Insurance",FENG
DIALOG SEMICON Technology,"DIALOG, DIALOG SEMICON Technology, DST",0P0001MMZ6.F
HUSQVARNA B Personal & Household Goods,"HBP&HG, HUSQVARNA, HUSQVARNA B Personal & Household Goods",HRZ.F
NCC B Construction & Materials,"NBC&M, NCC, NCC B Construction & Materials",NCCGF
INTERMEDIATE CAPITAL GRP Financial Services,"ICFS, INTERMEDIATE, INTERMEDIATE CAPITAL  Financial Services, INTERMEDIATE CAPITAL GRP Financial Services",VCIT
BILLERUDKORSNAS Basic Resources,"BBR, BILLERUDKORSNAS, BILLERUDKORSNAS Basic Resources",BNF.HA
TELE2 B Telecommunications,"TBT, TELE2, TELE2 B Telecommunications",NCYD.HA
TEMENOS GRP Technology,"TEMENOS, TEMENOS  Technology, TEMENOS GRP Technology, TT",TMSNY
ANTOFAGASTA Basic Resources,"ABR, ANTOFAGASTA, ANTOFAGASTA Basic Resources",ANTO.L
CLOSE BROTHERS GRP Financial Services,"CBFS, CLOSE, CLOSE BROTHERS  Financial Services, CLOSE BROTHERS GRP Financial Services",0P0001QQP3.SZ
AMEC FOSTER WHEELER Oil & Gas,"AFWO&G, AMEC, AMEC FOSTER WHEELER Oil & Gas",AMECX
CEZ Utilities,"CEZ, CEZ Utilities, CU",CEZ.PR
BCO POPOLARE Banks,"BCO, BCO POPOLARE Banks, BPB",BCO
DAILY MAIL & GENERAL TRUST Media,"DAILY, DAILY MAIL & GENERAL TRUST Media, DM&GTM",SOXL
JCDECAUX Media,"JCDECAUX, JCDECAUX Media, JM",DEC.PA
BB BIOTECH Health Care,"BB BIOTECH Health Care, BBHC",BB
BPOST SA Industrial Goods & Services,"BIG&S, BPOST, BPOST  Industrial Goods & Services, BPOST SA Industrial Goods & Services",BPOST.BR
PLAYTECH Travel & Leisure,"PLAYTECH, PLAYTECH Travel & Leisure, PT&L",PTEC.L
LAGARDERE Media,"LAGARDERE, LAGARDERE Media, LM",LAG.F
ICADE Real Estate,"ICADE, ICADE Real Estate, IRE",3IC.F
BEAZLEY Insurance,"BEAZLEY, BEAZLEY Insurance, BI",2D7.F
ELEKTA B Health Care,"EBHC, ELEKTA, ELEKTA B Health Care",EKTAY
EURAZEO Industrial Goods & Services,"EIG&S, EURAZEO, EURAZEO Industrial Goods & Services",EUQ.F
METSO Industrial Goods & Services,"METSO, METSO Industrial Goods & Services, MIG&S",M6QB.F
JUPITER FUND MANAGEMENT Financial Services,"JFMFS, JUPITER, JUPITER FUND MANAGEMENT Financial Services",0P000161JT.L
CASTELLUM Real Estate,"CASTELLUM, CASTELLUM Real Estate, CRE",CTM
FONCIERE DES REGIONS Real Estate,"FDRRE, FONCIERE, FONCIERE DES REGIONS Real Estate",LEBL.PA
KABEL DEUTSCHLAND Media,"KABEL, KABEL DEUTSCHLAND Media, KDM",RRKABEL.BO
JUST EAT Retail,"JER, JUST, JUST EAT Retail",JUST
ALPHA BANK Banks,"ABB, ALPHA, ALPHA BANK Banks",GOOG
FRESNILLO Basic Resources,"FBR, FRESNILLO, FRESNILLO Basic Resources",FRES.L
HEXPOL 'B' Chemicals,"H'C, HEXPOL, HEXPOL 'B' Chemicals",4QT1.F
BBA AVIATION Industrial Goods & Services,"BAIG&S, BBA, BBA AVIATION Industrial Goods & Services",BBAI
BOLSAS Y MERCADOS ESPANOLES Financial Services,"BOLSAS, BOLSAS Y MERCADOS ESPANOLES Financial Services, BYMEFS",0P0000649M.F
UBISOFT ENTERTAINEMENT Personal & Household Goods,"UBISOFT, UBISOFT ENTERTAINEMENT Personal & Household Goods, UEP&HG",UBI.PA
VISCOFAN Food & Beverage,"VF&B, VISCOFAN, VISCOFAN Food & Beverage",VIS.MC
BCA POPOLARE EMILIA ROMAGNA Banks,"BCA, BCA POPOLARE EMILIA ROMAGNA Banks, BPERB",BCAB
AZIMUT HLDG Financial Services,"AFS, AZIMUT, AZIMUT  Financial Services, AZIMUT HLDG Financial Services",AZM.MI
ICA GRUPPEN Retail,"ICA, ICA GRUPPEN Retail, IGR",IEP
LOGITECH INTERNATIONAL Technology,"LOGITECH, LOGITECH  Technology, LOGITECH INTERNATIONAL Technology, LT",LOGI
GAM Financial Services,"GAM, GAM Financial Services, GFS",GAM
INTRUM JUSTITIA Financial Services,"IJFS, INTRUM, INTRUM JUSTITIA Financial Services",INTRUM.ST
RECORDATI Health Care,"RECORDATI, RECORDATI Health Care, RHC",RER1.BE
UNIPOLSAI Insurance,"UI, UNIPOLSAI, UNIPOLSAI Insurance",0P0001B99D.F
BALFOUR BEATTY Construction & Materials,"BALFOUR, BALFOUR BEATTY Construction & Materials, BBC&M",BBY.L
SAIPEM Oil & Gas,"SAIPEM, SAIPEM Oil & Gas, SO&G",SPM.MI
CELLNEX TELECOM Telecommunications,"CELLNEX, CELLNEX TELECOM Telecommunications, CTT",CLLNY
COFINIMMO Real Estate,"COFINIMMO, COFINIMMO Real Estate, CRE",COF.F
